Colname,Conformity,Continent,Label
Paraquat|soil|agricultural,Acceptable conformity,South America,51
Parathion|soil|agricultural,Marginally acceptable conformity,South America,52
Pendimethalin|soil|agricultural,Nonconformity,South America,53
Phosphorus|soil|unspecified,Marginally acceptable conformity,South America,54
Picoxystrobin|soil|agricultural,Marginally acceptable conformity,South America,55
Piperonyl butoxide|soil|agricultural,Marginally acceptable conformity,South America,56
Potassium I|soil|unspecified,Acceptable conformity,South America,57
Prochloraz|soil|agricultural,Nonconformity,South America,58
Propargite|soil|agricultural,Marginally acceptable conformity,South America,59
Propiconazole|soil|agricultural,Marginally acceptable conformity,South America,60
Pyrethrum|soil|agricultural,Marginally acceptable conformity,South America,61
Quinmerac|soil|agricultural,Acceptable conformity,South America,62
Quizalofop-p-ethyl|soil|agricultural,Acceptable conformity,South America,63
Scandium|soil|unspecified,Acceptable conformity,South America,64
Silicon|soil|unspecified,Acceptable conformity,South America,65
Silver I|soil|unspecified,Marginally acceptable conformity,South America,66
Strontium II|soil|industrial,Marginally acceptable conformity,South America,67
Sulfentrazone|soil|agricultural,Acceptable conformity,South America,68
Sulfur|soil|industrial,Nonconformity,South America,69
Sulfur|soil|unspecified,Acceptable conformity,South America,70
Thallium I|soil|industrial,Acceptable conformity,South America,71
Thallium I|soil|unspecified,Marginally acceptable conformity,South America,72
Thifensulfuron-methyl|soil|agricultural,Nonconformity,South America,73
Thiram|soil|agricultural,Acceptable conformity,South America,74
Tin ion|soil|unspecified,Acceptable conformity,South America,75
Titanium ion|soil|agricultural,Acceptable conformity,South America,76
Titanium ion|soil|industrial,Acceptable conformity,South America,77
Titanium ion|soil|unspecified,Nonconformity,South America,78
Trichlorfon|soil|agricultural,Acceptable conformity,South America,79
Trifloxystrobin|soil|agricultural,Acceptable conformity,South America,80
Trifloxystrobin|soil|forestry,Marginally acceptable conformity,South America,81
Trinexapac-ethyl|soil|agricultural,Nonconformity,South America,82
Vanadium V|soil|industrial,Marginally acceptable conformity,South America,83
Vanadium V|soil|unspecified,Acceptable conformity,South America,84
Zeta-cypermethrin|soil|agricultural,Nonconformity,South America,85
Zinc II|soil|industrial,Acceptable conformity,South America,86
"2,4-DB|soil|agricultural",Marginally acceptable conformity,Asia,1
Acrinathrin|soil|agricultural,Marginally acceptable conformity,Asia,2
Aluminium III|soil|industrial,Marginally acceptable conformity,Asia,3
Antimony ion|soil|agricultural,Nonconformity,Asia,4
Asulam|soil|agricultural,Nonconformity,Asia,5
Atrazine|soil|agricultural,Nonconformity,Asia,6
Barium II|soil|agricultural,Nonconformity,Asia,7
Benomyl|soil|agricultural,Nonconformity,Asia,8
Beryllium II|soil|industrial,Nonconformity,Asia,9
Beryllium II|soil|unspecified,Nonconformity,Asia,10
Beta-cyfluthrin|soil|agricultural,Acceptable conformity,Asia,11
Boron|soil|agricultural,Nonconformity,Asia,12
Boron|soil|industrial,Acceptable conformity,Asia,13
Bromine|soil|industrial,Nonconformity,Asia,14
Calcium II|soil|unspecified,Nonconformity,Asia,15
Carbon|soil|industrial,Nonconformity,Asia,16
Carbon|soil|unspecified,Nonconformity,Asia,17
Chlormequat|soil|agricultural,Nonconformity,Asia,18
Chlorothalonil|soil|agricultural,Nonconformity,Asia,19
Chlorotoluron|soil|agricultural,Nonconformity,Asia,20
Clothianidin|soil|agricultural,Nonconformity,Asia,21
Deltamethrin|soil|agricultural,Marginally acceptable conformity,Asia,22
Diafenthiuron|soil|agricultural,Nonconformity,Asia,23
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",Nonconformity,Asia,24
Ethephon|soil|agricultural,Nonconformity,Asia,25
Fenoxaprop ethyl ester|soil|agricultural,Nonconformity,Asia,26
Flonicamid|soil|agricultural,Nonconformity,Asia,27
Fluazifop-P-butyl|soil|agricultural,Nonconformity,Asia,28
Fludioxonil|soil|forestry,Nonconformity,Asia,29
Flumioxazin|soil|forestry,Nonconformity,Asia,30
Fluquinconazole|soil|agricultural,Nonconformity,Asia,31
Glufosinate|soil|agricultural,Nonconformity,Asia,33
Glufosinate ammonium|soil|agricultural,Nonconformity,Asia,32
Glyphosate|soil|forestry,Marginally acceptable conformity,Asia,34
"Heat, waste|soil|agricultural",Nonconformity,Asia,35
"Hydrocarbons, unspecified|soil|unspecified",Nonconformity,Asia,36
Imazethapyr|soil|agricultural,Nonconformity,Asia,37
Iodosulfuron|soil|agricultural,Nonconformity,Asia,38
Iron ion|soil|industrial,Marginally acceptable conformity,Asia,39
Lenacil|soil|agricultural,Marginally acceptable conformity,Asia,40
